id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_tenaga_kerja,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,1312,ORANG,2014
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1278,ORANG,2014
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,ORANG,2014
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,ORANG,2014
5,32,JAWA BARAT,3205,KABUPATEN GARUT,0,ORANG,2014
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,ORANG,2014
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,ORANG,2014
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,ORANG,2014
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,ORANG,2014
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,ORANG,2014
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,230,ORANG,2014
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,253,ORANG,2014
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,ORANG,2014
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,183,ORANG,2014
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1456,ORANG,2014
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,1254,ORANG,2014
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,ORANG,2014
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,ORANG,2014
19,32,JAWA BARAT,3271,KOTA BOGOR,0,ORANG,2014
20,32,JAWA BARAT,3272,KOTA SUKABUMI,0,ORANG,2014
21,32,JAWA BARAT,3273,KOTA BANDUNG,0,ORANG,2014
22,32,JAWA BARAT,3274,KOTA CIREBON,0,ORANG,2014
23,32,JAWA BARAT,3275,KOTA BEKASI,302,ORANG,2014
24,32,JAWA BARAT,3276,KOTA DEPOK,0,ORANG,2014
25,32,JAWA BARAT,3277,KOTA CIMAHI,0,ORANG,2014
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,ORANG,2014
27,32,JAWA BARAT,3279,KOTA BANJAR,0,ORANG,2014
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,611,ORANG,2015
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,127,ORANG,2015
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,5,ORANG,2015
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,ORANG,2015
32,32,JAWA BARAT,3205,KABUPATEN GARUT,0,ORANG,2015
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,ORANG,2015
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,ORANG,2015
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,ORANG,2015
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,987,ORANG,2015
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,ORANG,2015
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,4582,ORANG,2015
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,66,ORANG,2015
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,116,ORANG,2015
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,ORANG,2015
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,9,ORANG,2015
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,2340,ORANG,2015
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1302,ORANG,2015
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,ORANG,2015
46,32,JAWA BARAT,3271,KOTA BOGOR,0,ORANG,2015
47,32,JAWA BARAT,3272,KOTA SUKABUMI,0,ORANG,2015
48,32,JAWA BARAT,3273,KOTA BANDUNG,43,ORANG,2015
49,32,JAWA BARAT,3274,KOTA CIREBON,0,ORANG,2015
50,32,JAWA BARAT,3275,KOTA BEKASI,77,ORANG,2015
51,32,JAWA BARAT,3276,KOTA DEPOK,0,ORANG,2015
52,32,JAWA BARAT,3277,KOTA CIMAHI,0,ORANG,2015
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,ORANG,2015
54,32,JAWA BARAT,3279,KOTA BANJAR,0,ORANG,2015
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,610,ORANG,2016
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,762,ORANG,2016
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1624,ORANG,2016
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,36,ORANG,2016
59,32,JAWA BARAT,3205,KABUPATEN GARUT,0,ORANG,2016
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,ORANG,2016
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,ORANG,2016
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,ORANG,2016
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,380,ORANG,2016
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,ORANG,2016
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,7313,ORANG,2016
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,ORANG,2016
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,ORANG,2016
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,171,ORANG,2016
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,303,ORANG,2016
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,1106,ORANG,2016
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,57,ORANG,2016
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,ORANG,2016
73,32,JAWA BARAT,3271,KOTA BOGOR,0,ORANG,2016
74,32,JAWA BARAT,3272,KOTA SUKABUMI,0,ORANG,2016
75,32,JAWA BARAT,3273,KOTA BANDUNG,0,ORANG,2016
76,32,JAWA BARAT,3274,KOTA CIREBON,0,ORANG,2016
77,32,JAWA BARAT,3275,KOTA BEKASI,35,ORANG,2016
78,32,JAWA BARAT,3276,KOTA DEPOK,0,ORANG,2016
79,32,JAWA BARAT,3277,KOTA CIMAHI,0,ORANG,2016
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,ORANG,2016
81,32,JAWA BARAT,3279,KOTA BANJAR,0,ORANG,2016
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,1238,ORANG,2017
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,20,ORANG,2017
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,ORANG,2017
85,32,JAWA BARAT,3204,KABUPATEN BANDUNG,146,ORANG,2017
86,32,JAWA BARAT,3205,KABUPATEN GARUT,19,ORANG,2017
87,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,ORANG,2017
88,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,ORANG,2017
89,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,3,ORANG,2017
90,32,JAWA BARAT,3209,KABUPATEN CIREBON,822,ORANG,2017
91,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,97,ORANG,2017
92,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,277,ORANG,2017
93,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,23,ORANG,2017
94,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,ORANG,2017
95,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,84,ORANG,2017
96,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2,ORANG,2017
97,32,JAWA BARAT,3216,KABUPATEN BEKASI,1677,ORANG,2017
98,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,ORANG,2017
99,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,ORANG,2017
100,32,JAWA BARAT,3271,KOTA BOGOR,0,ORANG,2017
101,32,JAWA BARAT,3272,KOTA SUKABUMI,0,ORANG,2017
102,32,JAWA BARAT,3273,KOTA BANDUNG,0,ORANG,2017
103,32,JAWA BARAT,3274,KOTA CIREBON,0,ORANG,2017
104,32,JAWA BARAT,3275,KOTA BEKASI,558,ORANG,2017
105,32,JAWA BARAT,3276,KOTA DEPOK,38,ORANG,2017
106,32,JAWA BARAT,3277,KOTA CIMAHI,0,ORANG,2017
107,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,ORANG,2017
108,32,JAWA BARAT,3279,KOTA BANJAR,0,ORANG,2017
109,32,JAWA BARAT,3201,KABUPATEN BOGOR,4400,ORANG,2018
110,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,80,ORANG,2018
111,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,ORANG,2018
112,32,JAWA BARAT,3204,KABUPATEN BANDUNG,3079,ORANG,2018
113,32,JAWA BARAT,3205,KABUPATEN GARUT,111,ORANG,2018
114,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,ORANG,2018
115,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,ORANG,2018
116,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1,ORANG,2018
117,32,JAWA BARAT,3209,KABUPATEN CIREBON,59,ORANG,2018
118,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,5923,ORANG,2018
119,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,4625,ORANG,2018
120,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,ORANG,2018
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,ORANG,2018
122,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,214,ORANG,2018
123,32,JAWA BARAT,3215,KABUPATEN KARAWANG,136,ORANG,2018
124,32,JAWA BARAT,3216,KABUPATEN BEKASI,494,ORANG,2018
125,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,5,ORANG,2018
126,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,ORANG,2018
127,32,JAWA BARAT,3271,KOTA BOGOR,0,ORANG,2018
128,32,JAWA BARAT,3272,KOTA SUKABUMI,0,ORANG,2018
129,32,JAWA BARAT,3273,KOTA BANDUNG,284,ORANG,2018
130,32,JAWA BARAT,3274,KOTA CIREBON,0,ORANG,2018
131,32,JAWA BARAT,3275,KOTA BEKASI,136,ORANG,2018
132,32,JAWA BARAT,3276,KOTA DEPOK,338,ORANG,2018
133,32,JAWA BARAT,3277,KOTA CIMAHI,0,ORANG,2018
134,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,ORANG,2018
135,32,JAWA BARAT,3279,KOTA BANJAR,0,ORANG,2018
136,32,JAWA BARAT,3201,KABUPATEN BOGOR,311,ORANG,2019
137,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,5,ORANG,2019
138,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,ORANG,2019
139,32,JAWA BARAT,3204,KABUPATEN BANDUNG,232,ORANG,2019
140,32,JAWA BARAT,3205,KABUPATEN GARUT,0,ORANG,2019
141,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,ORANG,2019
142,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,ORANG,2019
143,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,ORANG,2019
144,32,JAWA BARAT,3209,KABUPATEN CIREBON,0,ORANG,2019
145,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,ORANG,2019
146,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,66,ORANG,2019
147,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,ORANG,2019
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,0,ORANG,2019
149,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,0,ORANG,2019
150,32,JAWA BARAT,3215,KABUPATEN KARAWANG,428,ORANG,2019
151,32,JAWA BARAT,3216,KABUPATEN BEKASI,132,ORANG,2019
152,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,0,ORANG,2019
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,ORANG,2019
154,32,JAWA BARAT,3271,KOTA BOGOR,0,ORANG,2019
155,32,JAWA BARAT,3272,KOTA SUKABUMI,0,ORANG,2019
156,32,JAWA BARAT,3273,KOTA BANDUNG,16,ORANG,2019
157,32,JAWA BARAT,3274,KOTA CIREBON,0,ORANG,2019
158,32,JAWA BARAT,3275,KOTA BEKASI,0,ORANG,2019
159,32,JAWA BARAT,3276,KOTA DEPOK,0,ORANG,2019
160,32,JAWA BARAT,3277,KOTA CIMAHI,98,ORANG,2019
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,ORANG,2019
162,32,JAWA BARAT,3279,KOTA BANJAR,0,ORANG,2019
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,522,ORANG,2020
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0,ORANG,2020
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,ORANG,2020
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,0,ORANG,2020
167,32,JAWA BARAT,3205,KABUPATEN GARUT,20,ORANG,2020
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,ORANG,2020
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,ORANG,2020
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,1,ORANG,2020
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,757,ORANG,2020
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,0,ORANG,2020
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,0,ORANG,2020
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,ORANG,2020
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,41,ORANG,2020
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,147,ORANG,2020
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,0,ORANG,2020
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,101,ORANG,2020
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,10,ORANG,2020
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,ORANG,2020
181,32,JAWA BARAT,3271,KOTA BOGOR,0,ORANG,2020
182,32,JAWA BARAT,3272,KOTA SUKABUMI,0,ORANG,2020
183,32,JAWA BARAT,3273,KOTA BANDUNG,127,ORANG,2020
184,32,JAWA BARAT,3274,KOTA CIREBON,0,ORANG,2020
185,32,JAWA BARAT,3275,KOTA BEKASI,30,ORANG,2020
186,32,JAWA BARAT,3276,KOTA DEPOK,49,ORANG,2020
187,32,JAWA BARAT,3277,KOTA CIMAHI,34,ORANG,2020
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,ORANG,2020
189,32,JAWA BARAT,3279,KOTA BANJAR,0,ORANG,2020
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,495,ORANG,2021
191,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0,ORANG,2021
192,32,JAWA BARAT,3203,KABUPATEN CIANJUR,0,ORANG,2021
193,32,JAWA BARAT,3204,KABUPATEN BANDUNG,126,ORANG,2021
194,32,JAWA BARAT,3205,KABUPATEN GARUT,36,ORANG,2021
195,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,ORANG,2021
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,0,ORANG,2021
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,ORANG,2021
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,48,ORANG,2021
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,305,ORANG,2021
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,32,ORANG,2021
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,ORANG,2021
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,13,ORANG,2021
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,210,ORANG,2021
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,570,ORANG,2021
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,984,ORANG,2021
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,67,ORANG,2021
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,ORANG,2021
208,32,JAWA BARAT,3271,KOTA BOGOR,0,ORANG,2021
209,32,JAWA BARAT,3272,KOTA SUKABUMI,0,ORANG,2021
210,32,JAWA BARAT,3273,KOTA BANDUNG,59,ORANG,2021
211,32,JAWA BARAT,3274,KOTA CIREBON,0,ORANG,2021
212,32,JAWA BARAT,3275,KOTA BEKASI,114,ORANG,2021
213,32,JAWA BARAT,3276,KOTA DEPOK,0,ORANG,2021
214,32,JAWA BARAT,3277,KOTA CIMAHI,0,ORANG,2021
215,32,JAWA BARAT,3278,KOTA TASIKMALAYA,0,ORANG,2021
216,32,JAWA BARAT,3279,KOTA BANJAR,0,ORANG,2021
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,1481,ORANG,2022
218,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,0,ORANG,2022
219,32,JAWA BARAT,3203,KABUPATEN CIANJUR,119,ORANG,2022
220,32,JAWA BARAT,3204,KABUPATEN BANDUNG,49,ORANG,2022
221,32,JAWA BARAT,3205,KABUPATEN GARUT,49,ORANG,2022
222,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,0,ORANG,2022
223,32,JAWA BARAT,3207,KABUPATEN CIAMIS,188,ORANG,2022
224,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,0,ORANG,2022
225,32,JAWA BARAT,3209,KABUPATEN CIREBON,688,ORANG,2022
226,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,1177,ORANG,2022
227,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,7,ORANG,2022
228,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,0,ORANG,2022
229,32,JAWA BARAT,3213,KABUPATEN SUBANG,3,ORANG,2022
230,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,13,ORANG,2022
231,32,JAWA BARAT,3215,KABUPATEN KARAWANG,47,ORANG,2022
232,32,JAWA BARAT,3216,KABUPATEN BEKASI,596,ORANG,2022
233,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,103,ORANG,2022
234,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,0,ORANG,2022
235,32,JAWA BARAT,3271,KOTA BOGOR,382,ORANG,2022
236,32,JAWA BARAT,3272,KOTA SUKABUMI,0,ORANG,2022
237,32,JAWA BARAT,3273,KOTA BANDUNG,60,ORANG,2022
238,32,JAWA BARAT,3274,KOTA CIREBON,0,ORANG,2022
239,32,JAWA BARAT,3275,KOTA BEKASI,361,ORANG,2022
240,32,JAWA BARAT,3276,KOTA DEPOK,0,ORANG,2022
241,32,JAWA BARAT,3277,KOTA CIMAHI,0,ORANG,2022
242,32,JAWA BARAT,3278,KOTA TASIKMALAYA,5,ORANG,2022
243,32,JAWA BARAT,3279,KOTA BANJAR,0,ORANG,2022
